image_id,label,graphemes
173.png,পন্যের,"['প', 'ন্যে', 'র']"
174.png,ক্রেতা,"['ক্রে', 'তা']"
175.png,দিন,"['দি', 'ন']"
176.png,দিন,"['দি', 'ন']"
177.png,বেড়েই,"['বে', 'ড়ে', 'ই']"
178.png,চলেছে,"['চ', 'লে', 'ছে']"
179.png,এবং,"['এ', 'ব', 'ং']"
180.png,এর,"['এ', 'র']"
181.png,ফলে,"['ফ', 'লে']"
182.png,বাংলাদেশের,"['বা', 'ং', 'লা', 'দে', 'শে', 'র']"
183.png,এই,"['এ', 'ই']"
184.png,অথনীতিতে,"['অ', 'থ', 'নী', 'তি', 'তে']"
185.png,বৈদেশিক,"['বৈ', 'দে', 'শি', 'ক']"
186.png,বানিজ্যের,"['বা', 'নি', 'জ্যে', 'র']"
187.png,গুরুত্ব,"['গু', 'রু', 'ত্ব']"
188.png,আরো,"['আ', 'রো']"
189.png,বৃদ্ধি,"['বৃ', 'দ্ধি']"
190.png,পাচ্ছে,"['পা', 'চ্ছে']"
191.png,উৎপাদন,"['উ', 'ৎ', 'পা', 'দ', 'ন']"
192.png,মাছ,"['মা', 'ছ']"
193.png,ধরা,"['ধ', 'রা']"
194.png,গরু,"['গ', 'রু']"
195.png,ছাগল,"['ছা', 'গ', 'ল']"
196.png,হাস,"['হা', 'স']"
197.png,মুরগী,"['মু', 'র', 'গী']"
198.png,পালন,"['পা', 'ল', 'ন']"
199.png,কুটির,"['কু', 'টি', 'র']"
200.png,শিল্প,"['শি', 'ল্প']"
201.png,হাট,"['হা', 'ট']"
202.png,পন্য,"['প', 'ন্য']"
203.png,বিক্রি,"['বি', 'ক্রি']"
204.png,করার,"['ক', 'রা', 'র']"
205.png,মাধ্যমে,"['মা', 'ধ্য', 'মে']"
206.png,ওদের,"['ও', 'দে', 'র']"
207.png,জীবিকা,"['জী', 'বি', 'কা']"
208.png,সংস্থান,"['স', 'ং', 'স্থা', 'ন']"
209.png,শুধু,"['শু', 'ধু']"
210.png,তাই,"['তা', 'ই']"
211.png,হয়,"['হ', 'য়']"
212.png,তারা,"['তা', 'রা']"
213.png,দেশের,"['দে', 'শে', 'র']"
214.png,অর্থনৈতিক,"['অ', 'র্থ', 'নৈ', 'তি', 'ক']"
215.png,জীবনকে,"['জী', 'ব', 'ন', 'কে']"
216.png,সচল,"['স', 'চ', 'ল']"
217.png,রাখছে,"['রা', 'খ', 'ছে']"
218.png,শহর,"['শ', 'হ', 'র']"
219.png,অঞ্চলে,"['অ', 'ঞ্চ', 'লে']"
220.png,বসবাসকারী,"['ব', 'স', 'বা', 'স', 'কা', 'রী']"
221.png,স্বল্প,"['স্ব', 'ল্প']"
223.png,এমন,"['এ', 'ম', 'ন']"
224.png,উচ্চ,"['উ', 'চ্চ']"
225.png,আয়ের,"['আ', 'য়ে', 'র']"
226.png,অনেক,"['অ', 'নে', 'ক']"
227.png,মানুষ,"['মা', 'নু', 'ষ']"
228.png,ও,['ও']
229.png,অনানুষ্ঠানিক,"['অ', 'না', 'নু', 'ষ্ঠা', 'নি', 'ক']"
230.png,খাতের,"['খা', 'তে', 'র']"
231.png,অর্থনৈতিক,"['অ', 'র্থ', 'নৈ', 'তি', 'ক']"
232.png,কর্মকাণ্ডে,"['ক', 'র্ম', 'কা', 'ণ্ডে']"
233.png,নিজেকে,"['নি', 'জে', 'কে']"
234.png,নিয়োজিত,"['নি', 'য়ো', 'জি', 'ত']"
235.png,রাখছে,"['রা', 'খ', 'ছে']"
236.png,দেশের,"['দে', 'শে', 'র']"
237.png,চাহিদা,"['চা', 'হি', 'দা']"
238.png,মিটিয়ে,"['মি', 'টি', 'য়ে']"
239.png,উৎপাদন,"['উ', 'ৎ', 'পা', 'দ', 'ন']"
240.png,পণ্যের,"['প', 'ণ্যে', 'র']"
241.png,একটা,"['এ', 'ক', 'টা']"
242.png,অংশ,"['অ', 'ং', 'শ']"
243.png,বিদেশে,"['বি', 'দে', 'শে']"
244.png,রপ্তানী,"['র', 'প্তা', 'নী']"
245.png,করা,"['ক', 'রা']"
246.png,হয়,"['হ', 'য়']"
247.png,বিদেশে,"['বি', 'দে', 'শে']"
248.png,পন্য,"['প', 'ন্য']"
249.png,রপ্তানী,"['র', 'প্তা', 'নী']"
250.png,করে,"['ক', 'রে']"
251.png,অর্জিত,"['অ', 'র্জি', 'ত']"
252.png,বৈদেশিক,"['বৈ', 'দে', 'শি', 'ক']"
253.png,মুদ্রা,"['মু', 'দ্রা']"
254.png,যেমন,"['যে', 'ম', 'ন']"
255.png,আদিম,"['আ', 'দি', 'ম']"
256.png,যুগের,"['যু', 'গে', 'র']"
257.png,মানুষ,"['মা', 'নু', 'ষ']"
258.png,কৃষিকাজ,"['কৃ', 'ষি', 'কা', 'জ']"
259.png,জানত,"['জা', 'ন', 'ত']"
260.png,না,['না']
261.png,বনে,"['ব', 'নে']"
262.png,বনে,"['ব', 'নে']"
263.png,ঘুরে,"['ঘু', 'রে']"
264.png,ফলমূল,"['ফ', 'ল', 'মূ', 'ল']"
265.png,সংগ্রহ,"['স', 'ং', 'গ্র', 'হ']"
266.png,করত,"['ক', 'র', 'ত']"
267.png,তাই,"['তা', 'ই']"
268.png,ছিল,"['ছি', 'ল']"
269.png,তাদের,"['তা', 'দে', 'র']"
270.png,খাদ্য,"['খা', 'দ্য']"
271.png,এরপর,"['এ', 'র', 'প', 'র']"
272.png,মানুষ,"['মা', 'নু', 'ষ']"
273.png,পাথর,"['পা', 'থ', 'র']"
274.png,ভেঙে,"['ভে', 'ঙে']"
275.png,ঘষে,"['ঘ', 'ষে']"
276.png,ঘষে,"['ঘ', 'ষে']"
277.png,ধারালো,"['ধা', 'রা', 'লো']"
278.png,অস্ত্র,"['অ', 'স্ত্র']"
279.png,তৈরি,"['তৈ', 'রি']"
280.png,করতে,"['ক', 'র', 'তে']"
281.png,শেখে,"['শে', 'খে']"
282.png,সে,['সে']
283.png,সময়,"['স', 'ম', 'য়']"
284.png,পাথরই,"['পা', 'থ', 'র', 'ই']"
285.png,ছিল,"['ছি', 'ল']"
286.png,তাদের,"['তা', 'দে', 'র']"
287.png,একমাত্র,"['এ', 'ক', 'মা', 'ত্র']"
288.png,হাতিয়ার,"['হা', 'তি', 'য়া', 'র']"
289.png,সে,['সে']
290.png,কারণে,"['কা', 'র', 'ণে']"
291.png,এ,['এ']
292.png,যুগকে,"['যু', 'গ', 'কে']"
293.png,পাথরের,"['পা', 'থ', 'রে', 'র']"
294.png,যুগ,"['যু', 'গ']"
295.png,বলা,"['ব', 'লা']"
296.png,হয়,"['হ', 'য়']"
297.png,পাথরের,"['পা', 'থ', 'রে', 'র']"
298.png,যুগের,"['যু', 'গে', 'র']"
299.png,প্রথম,"['প্র', 'থ', 'ম']"
300.png,পর্যায়কে,"['প', 'র্যা', 'য়', 'কে']"
301.png,বলা,"['ব', 'লা']"
302.png,হতো,"['হ', 'তো']"
303.png,পুরনো,"['পু', 'র', 'নো']"
304.png,পাথরের,"['পা', 'থ', 'রে', 'র']"
305.png,যুগ,"['যু', 'গ']"
306.png,বা,['বা']
308.png,যুগ,"['যু', 'গ']"
309.png,এ,['এ']
310.png,যুগে,"['যু', 'গে']"
311.png,মানুষ,"['মা', 'নু', 'ষ']"
312.png,পাথরের,"['পা', 'থ', 'রে', 'র']"
313.png,অস্ত্রে,"['অ', 'স্ত্রে']"
314.png,দিয়ে,"['দি', 'য়ে']"
315.png,দলবদ্ধভাবে,"['দ', 'ল', 'ব', 'দ্ধ', 'ভা', 'বে']"
316.png,পশু,"['প', 'শু']"
317.png,শিকার,"['শি', 'কা', 'র']"
318.png,করত,"['ক', 'র', 'ত']"
319.png,এরা,"['এ', 'রা']"
320.png,আগুনের,"['আ', 'গু', 'নে', 'র']"
321.png,ব্যবহারও,"['ব্য', 'ব', 'হা', 'র', 'ও']"
322.png,সৈয়দ,"['সৈ', 'য়', 'দ']"
323.png,ওয়ালীউল্লাহ,"['ও', 'য়া', 'লী', 'উ', 'ল্লা', 'হ']"
324.png,মানবতাবাদী,"['মা', 'ন', 'ব', 'তা', 'বা', 'দী']"
325.png,লেখক,"['লে', 'খ', 'ক']"
326.png,মানব,"['মা', 'ন', 'ব']"
327.png,মুক্তির,"['মু', 'ক্তি', 'র']"
328.png,স্বাভাবিক,"['স্বা', 'ভা', 'বি', 'ক']"
329.png,আকাঙ্ক্ষা,"['আ', 'কা', 'ঙ্ক্ষা']"
330.png,তাঁর,"['তাঁ', 'র']"
331.png,সাহিত্যে,"['সা', 'হি', 'ত্যে']"
333.png,কেন্দ্রে,"['কে', 'ন্দ্রে']"
334.png,সক্রিয়,"['স', 'ক্রি', 'য়']"
335.png,এ,['এ']
336.png,দেশের,"['দে', 'শে', 'র']"
337.png,মানুষের,"['মা', 'নু', 'ষে', 'র']"
338.png,সুসংগত,"['সু', 'স', 'ং', 'গ', 'ত']"
339.png,ও,['ও']
341.png,বিকাশের,"['বি', 'কা', 'শে', 'র']"
342.png,অন্তরায়,"['অ', 'ন্ত', 'রা', 'য়']"
343.png,গুলিকে,"['গু', 'লি', 'কে']"
344.png,তিনি,"['তি', 'নি']"
345.png,তাঁর,"['তাঁ', 'র']"
346.png,রচিত,"['র', 'চি', 'ত']"
347.png,সাহিত্যের,"['সা', 'হি', 'ত্যে', 'র']"
349.png,করেন,"['ক', 'রে', 'ন']"
350.png,চিহ্নিত,"['চি', 'হ্নি', 'ত']"
351.png,দেখিয়েছেন,"['দে', 'খি', 'য়ে', 'ছে', 'ন']"
352.png,কুসংস্কারের,"['কু', 'স', 'ং', 'স্কা', 'রে', 'র']"
353.png,শক্তি,"['শ', 'ক্তি']"
354.png,আর,"['আ', 'র']"
355.png,অন্ধবিশ্বাসের,"['অ', 'ন্ধ', 'বি', 'শ্বা', 'সে', 'র']"
356.png,দাপট,"['দা', 'প', 'ট']"
357.png,স্বার্থান্বেষী,"['স্বা', 'র্থা', 'ন্বে', 'ষী']"
358.png,ব্যক্তি,"['ব্য', 'ক্তি']"
359.png,ও,['ও']
360.png,সমাজ,"['স', 'মা', 'জ']"
361.png,সরল,"['স', 'র', 'ল']"
362.png,ও,['ও']
363.png,ধর্মপ্রাণ,"['ধ', 'র্ম', 'প্রা', 'ণ']"
364.png,সাাধারন,"['সা', 'ধা', 'র', 'ন']"
365.png,মানুষকে,"['মা', 'নু', 'ষ', 'কে']"
366.png,কীভাবে,"['কী', 'ভা', 'বে']"
367.png,বিভ্রান্ত,"['বি', 'ভ্রা', 'ন্ত']"
368.png,ও,['ও']
369.png,ভীতির,"['ভী', 'তি', 'র']"
370.png,মধ্যে,"['ম', 'ধ্যে']"
371.png,রেখে,"['রে', 'খে']"
372.png,শোষণের,"['শো', 'ষ', 'ণে', 'র']"
373.png,প্রক্রিয়া,"['প্র', 'ক্রি', 'য়া']"
374.png,চালু,"['চা', 'লু']"
375.png,রাখে,"['রা', 'খে']"
376.png,তার,"['তা', 'র']"
377.png,অনুপুঙ্খ,"['অ', 'নু', 'পু', 'ঙ্খ']"
378.png,বিবরণ,"['বি', 'ব', 'র', 'ণ']"
379.png,তিনি,"['তি', 'নি']"
380.png,দিয়েছেন,"['দি', 'য়ে', 'ছে', 'ন']"
382.png,উপন্যাসে,"['উ', 'প', 'ন্যা', 'সে']"
383.png,ধর্মবিশ্বাসে,"['ধ', 'র্ম', 'বি', 'শ্বা', 'সে']"
384.png,কিন্তু,"['কি', 'ন্তু']"
385.png,তাঁর,"['তাঁ', 'র']"
386.png,আক্রমনের,"['আ', 'ক্র', 'ম', 'নে', 'র']"
387.png,লক্ষ্য,"['ল', 'ক্ষ্য']"
388.png,নয়,"['ন', 'য়']"
389.png,তাঁর,"['তাঁ', 'র']"
390.png,আক্রমনের,"['আ', 'ক্র', 'ম', 'নে', 'র']"
391.png,লক্ষ্য,"['ল', 'ক্ষ্য']"
392.png,ধর্ম,"['ধ', 'র্ম']"
393.png,ব্যবসায়,"['ব্য', 'ব', 'সা', 'য়']"
394.png,এবং,"['এ', 'ব', 'ং']"
395.png,ধর্মের,"['ধ', 'র্মে', 'র']"
396.png,নামে,"['না', 'মে']"
397.png,প্রচলিত,"['প্র', 'চ', 'লি', 'ত']"
398.png,কুসংস্কার,"['কু', 'স', 'ং', 'স্কা', 'র']"
399.png,বানিজ্য,"['বা', 'নি', 'জ্য']"
400.png,দিকটিকে,"['দি', 'ক', 'টি', 'কে']"
401.png,আমাদের,"['আ', 'মা', 'দে', 'র']"
402.png,গুরুত্ব,"['গু', 'রু', 'ত্ব']"
403.png,দিতে,"['দি', 'তে']"
404.png,হবে,"['হ', 'বে']"
405.png,বাংলাদেশ,"['বা', 'ং', 'লা', 'দে', 'শ']"
406.png,পৃথিবীর,"['পৃ', 'থি', 'বী', 'র']"
407.png,বিভিন্ন,"['বি', 'ভি', 'ন্ন']"
408.png,দেশ,"['দে', 'শ']"
409.png,থেকে,"['থে', 'কে']"
410.png,যে,['যে']
411.png,সকল,"['স', 'ক', 'ল']"
412.png,পন্য,"['প', 'ন্য']"
413.png,আমদানি,"['আ', 'ম', 'দা', 'নি']"
414.png,করে,"['ক', 'রে']"
415.png,চাল,"['চা', 'ল']"
416.png,ডাল,"['ডা', 'ল']"
417.png,গম,"['গ', 'ম']"
418.png,ডাল,"['ডা', 'ল']"
419.png,তৈলবীজ,"['তৈ', 'ল', 'বী', 'জ']"
420.png,অপরিশোধিত,"['অ', 'প', 'রি', 'শো', 'ধি', 'ত']"
421.png,পেট্রোল,"['পে', 'ট্রো', 'ল']"
422.png,সার,"['সা', 'র']"
423.png,কৃষি,"['কৃ', 'ষি']"
424.png,প্রযুক্তি,"['প্র', 'যু', 'ক্তি']"
425.png,ইত্যাদি,"['ই', 'ত্যা', 'দি']"
426.png,বাংলাদেশ,"['বা', 'ং', 'লা', 'দে', 'শ']"
427.png,যেসব,"['যে', 'স', 'ব']"
428.png,দেশ,"['দে', 'শ']"
429.png,থেকে,"['থে', 'কে']"
430.png,খাদ্য,"['খা', 'দ্য']"
431.png,আমদানি,"['আ', 'ম', 'দা', 'নি']"
432.png,করে,"['ক', 'রে']"
433.png,তা,['তা']
434.png,হলো,"['হ', 'লো']"
435.png,চীন,"['চী', 'ন']"
436.png,ভারত,"['ভা', 'র', 'ত']"
437.png,সিঙ্গাপুর,"['সি', 'ঙ্গা', 'পু', 'র']"
438.png,দক্ষিন,"['দ', 'ক্ষি', 'ন']"
439.png,কোরিয়া,"['কো', 'রি', 'য়া']"
440.png,জাপান,"['জা', 'পা', 'ন']"
442.png,যুক্তরাজ্য,"['যু', 'ক্ত', 'রা', 'জ্য']"
443.png,দেশ,"['দে', 'শ']"
444.png,থেকে,"['থে', 'কে']"
445.png,সর,"['স', 'র']"
446.png,কারি,"['কা', 'রি']"
447.png,ও,['ও']
448.png,বেসরকারি,"['বে', 'স', 'র', 'কা', 'রি']"
449.png,পদে,"['প', 'দে']"
450.png,এ,['এ']
451.png,বানিজ্য,"['বা', 'নি', 'জ্য']"
452.png,চলে,"['চ', 'লে']"
453.png,বাংলাদেশ,"['বা', 'ং', 'লা', 'দে', 'শ']"
454.png,এর,"['এ', 'র']"
455.png,মধ্যে,"['ম', 'ধ্যে']"
456.png,বাংলাদেশের,"['বা', 'ং', 'লা', 'দে', 'শে', 'র']"
457.png,আমদানি,"['আ', 'ম', 'দা', 'নি']"
458.png,ব্যায়,"['ব্যা', 'য়']"
459.png,হয়েছে,"['হ', 'য়ে', 'ছে']"
460.png,আবহাওয়া,"['আ', 'ব', 'হা', 'ও', 'য়া']"
461.png,ও,['ও']
462.png,জলবায়ুর,"['জ', 'ল', 'বা', 'য়ু', 'র']"
463.png,উপাদান,"['উ', 'পা', 'দা', 'ন']"
464.png,এক,"['এ', 'ক']"
465.png,হলে,"['হ', 'লে']"
466.png,ও,['ও']
467.png,উভয়ের,"['উ', 'ভ', 'য়ে', 'র']"
468.png,মধ্যে,"['ম', 'ধ্যে']"
469.png,অনেক,"['অ', 'নে', 'ক']"
470.png,অমিল,"['অ', 'মি', 'ল']"
471.png,রয়েছে,"['র', 'য়ে', 'ছে']"
472.png,আবহাওয়া,"['আ', 'ব', 'হা', 'ও', 'য়া']"
473.png,হলো,"['হ', 'লো']"
474.png,একটি,"['এ', 'ক', 'টি']"
475.png,নির্দিষ্ট,"['নি', 'র্দি', 'ষ্ট']"
476.png,জায়গার,"['জা', 'য়', 'গা', 'র']"
477.png,নির্দিষ্ট,"['নি', 'র্দি', 'ষ্ট']"
478.png,দিনের,"['দি', 'নে', 'র']"
479.png,বা,['বা']
480.png,দিনের,"['দি', 'নে', 'র']"
481.png,বিশেষ,"['বি', 'শে', 'ষ']"
482.png,কোনো,"['কো', 'নো']"
483.png,সময়ে,"['স', 'ম', 'য়ে']"
484.png,বায়ুচাপ,"['বা', 'য়ু', 'চা', 'প']"
485.png,তাপমাত্রা,"['তা', 'প', 'মা', 'ত্রা']"
486.png,আর্দ্রতার,"['আ', 'র্দ্র', 'তা', 'র']"
487.png,পরিবর্তনই,"['প', 'রি', 'ব', 'র্ত', 'ন', 'ই']"
488.png,হলো,"['হ', 'লো']"
489.png,আবহাওয়া,"['আ', 'ব', 'হা', 'ও', 'য়া']"
490.png,আবহাওয়া,"['আ', 'ব', 'হা', 'ও', 'য়া']"
491.png,বায়ুচাপ,"['বা', 'য়ু', 'চা', 'প']"
492.png,ও,['ও']
493.png,গতি,"['গ', 'তি']"
494.png,তাপমাত্রা,"['তা', 'প', 'মা', 'ত্রা']"
495.png,আর্দ্রতা,"['আ', 'র্দ্র', 'তা']"
496.png,শুষ্কতা,"['শু', 'ষ্ক', 'তা']"
497.png,দিয়ে,"['দি', 'য়ে']"
498.png,নিয়ে,"['নি', 'য়ে']"
499.png,নির্ধারণ,"['নি', 'র্ধা', 'র', 'ণ']"
500.png,করা,"['ক', 'রা']"
501.png,হয়,"['হ', 'য়']"
502.png,আবার,"['আ', 'বা', 'র']"
503.png,জলবায়ু,"['জ', 'ল', 'বা', 'য়ু']"
504.png,হলো,"['হ', 'লো']"
505.png,কোনো,"['কো', 'নো']"
506.png,স্থান,"['স্থা', 'ন']"
507.png,বা,['বা']
508.png,অঞ্চলের,"['অ', 'ঞ্চ', 'লে', 'র']"
509.png,বছরের,"['ব', 'ছ', 'রে', 'র']"
510.png,গড়,"['গ', 'ড়']"
511.png,আবহাওয়ার,"['আ', 'ব', 'হা', 'ও', 'য়া', 'র']"
512.png,অবস্থাকে,"['অ', 'ব', 'স্থা', 'কে']"
513.png,জলবায়ু,"['জ', 'ল', 'বা', 'য়ু']"
514.png,বলে,"['ব', 'লে']"
515.png,কোনো,"['কো', 'নো']"
516.png,কোনো,"['কো', 'নো']"
517.png,স্থানে,"['স্থা', 'নে']"
518.png,বা,['বা']
519.png,অঞ্চলে,"['অ', 'ঞ্চ', 'লে']"
520.png,এই,"['এ', 'ই']"
521.png,উপাদান,"['উ', 'পা', 'দা', 'ন']"
522.png,ছাড়াও,"['ছা', 'ড়া', 'ও']"
523.png,জলবায়ুর,"['জ', 'ল', 'বা', 'য়ু', 'র']"
