image_id,label,graphemes
11964.png,সর্বোচ্চ,"['স', 'র্বো', 'চ্চ']"
17589.png,অসংখ্যা,"['অ', 'স', 'ং', 'খ্যা']"
16871.png,পারব,"['পা', 'র', 'ব']"
3396.png,মোন,"['মো', 'ন']"
11022.png,ঢিল,"['ঢি', 'ল']"
14692.png,হিসাবরক্ষক,"['হি', 'সা', 'ব', 'র', 'ক্ষ', 'ক']"
4342.png,ভূমিকা,"['ভূ', 'মি', 'কা']"
4106.png,কয়লা,"['ক', 'য়', 'লা']"
10878.png,বিষয়,"['বি', 'ষ', 'য়']"
4266.png,উপরই,"['উ', 'প', 'র', 'ই']"
8211.png,ক্ষমাশীল,"['ক্ষ', 'মা', 'শী', 'ল']"
13903.png,তরবারি,"['ত', 'র', 'বা', 'রি']"
11351.png,চালনা,"['চা', 'ল', 'না']"
2778.png,বস্তুত,"['ব', 'স্তু', 'ত']"
3761.png,জন্যেই,"['জ', 'ন্যে', 'ই']"
11672.png,মুক্তিযুদ্ধের,"['মু', 'ক্তি', 'যু', 'দ্ধে', 'র']"
4281.png,বুঝে,"['বু', 'ঝে']"
13278.png,পড়ে,"['প', 'ড়ে']"
1690.png,বিদ্বান,"['বি', 'দ্বা', 'ন']"
15010.png,ভোগ,"['ভো', 'গ']"
8785.png,তাড়াতাড়ি,"['তা', 'ড়া', 'তা', 'ড়ি']"
10441.png,ভাবনা,"['ভা', 'ব', 'না']"
10277.png,বিষয়টি,"['বি', 'ষ', 'য়', 'টি']"
7686.png,দুইটি,"['দু', 'ই', 'টি']"
2856.png,উঠলেন,"['উ', 'ঠ', 'লে', 'ন']"
6577.png,লাগবে,"['লা', 'গ', 'বে']"
1041.png,পাহাড়ি,"['পা', 'হা', 'ড়ি']"
11578.png,সম্বলিত,"['স', 'ম্ব', 'লি', 'ত']"
9399.png,উৎপাদন,"['উ', 'ৎ', 'পা', 'দ', 'ন']"
1156.png,বানিজ্যিক,"['বা', 'নি', 'জ্যি', 'ক']"
8095.png,আপেল,"['আ', 'পে', 'ল']"
3007.png,কুটিরশিল্প,"['কু', 'টি', 'র', 'শি', 'ল্প']"
8855.png,বান্দা,"['বা', 'ন্দা']"
9580.png,তালে,"['তা', 'লে']"
16405.png,দোর,"['দো', 'র']"
13960.png,মারা,"['মা', 'রা']"
10267.png,জনমত,"['জ', 'ন', 'ম', 'ত']"
5503.png,মনস্তাত্তিক,"['ম', 'ন', 'স্তা', 'ত্তি', 'ক']"
14531.png,প্রাচী,"['প্রা', 'চী']"
1208.png,উচ্চতর,"['উ', 'চ্চ', 'ত', 'র']"
14927.png,কর্মচারীরা,"['ক', 'র্ম', 'চা', 'রী', 'রা']"
5284.png,গুলোতে,"['গু', 'লো', 'তে']"
9984.png,অস্থিরতামুক্ত,"['অ', 'স্থি', 'র', 'তা', 'মু', 'ক্ত']"
10622.png,নবীর,"['ন', 'বী', 'র']"
9353.png,প্রচুর,"['প্র', 'চু', 'র']"
11603.png,নবি,"['ন', 'বি']"
1307.png,সম্পৃক্ত,"['স', 'ম্পৃ', 'ক্ত']"
13191.png,অসুখ,"['অ', 'সু', 'খ']"
14151.png,হলোঃ,"['হ', 'লো', 'ঃ']"
3562.png,অল্পবয়সী,"['অ', 'ল্প', 'ব', 'য়', 'সী']"
11174.png,পালাইয়া,"['পা', 'লা', 'ই', 'য়া']"
11210.png,ঝিমায়,"['ঝি', 'মা', 'য়']"
17261.png,মরেছি,"['ম', 'রে', 'ছি']"
17080.png,তাদেরকে,"['তা', 'দে', 'র', 'কে']"
15970.png,বসাইয়া,"['ব', 'সা', 'ই', 'য়া']"
6933.png,আনাও,"['আ', 'না', 'ও']"
5551.png,সমস্যার,"['স', 'ম', 'স্যা', 'র']"
16786.png,পালা,"['পা', 'লা']"
5079.png,মাথায়,"['মা', 'থা', 'য়']"
3555.png,ঢের,"['ঢে', 'র']"
8677.png,ব্যর্থতা,"['ব্য', 'র্থ', 'তা']"
13642.png,মৌসুমী,"['মৌ', 'সু', 'মী']"
3539.png,বেড়াবার,"['বে', 'ড়া', 'বা', 'র']"
16153.png,পরলেন,"['প', 'র', 'লে', 'ন']"
16023.png,ফলে,"['ফ', 'লে']"
6637.png,কোমল,"['কো', 'ম', 'ল']"
1164.png,প্রতিবছর,"['প্র', 'তি', 'ব', 'ছ', 'র']"
13208.png,চিকিৎসার,"['চি', 'কি', 'ৎ', 'সা', 'র']"
17556.png,দেওয়াকে,"['দে', 'ও', 'য়া', 'কে']"
6741.png,উপশাখা,"['উ', 'প', 'শা', 'খা']"
4.png,উড়াল,"['উ', 'ড়া', 'ল']"
10936.png,অবহেলিত,"['অ', 'ব', 'হে', 'লি', 'ত']"
2953.png,এগিয়ে,"['এ', 'গি', 'য়ে']"
4084.png,বিনয়,"['বি', 'ন', 'য়']"
9591.png,ফুফু,"['ফু', 'ফু']"
2229.png,কর,"['ক', 'র']"
5150.png,গরম,"['গ', 'র', 'ম']"
5779.png,ছাত্র,"['ছা', 'ত্র']"
10625.png,বিদ্যমান,"['বি', 'দ্য', 'মা', 'ন']"
16122.png,নারী,"['না', 'রী']"
16277.png,মুক্ত,"['মু', 'ক্ত']"
6985.png,দানিউব,"['দা', 'নি', 'উ', 'ব']"
13370.png,রেকর্ড,"['রে', 'ক', 'র্ড']"
14934.png,থাকবেন,"['থা', 'ক', 'বে', 'ন']"
9445.png,নয়,"['ন', 'য়']"
14981.png,সেবাযত্ন,"['সে', 'বা', 'য', 'ত্ন']"
4164.png,যেটাকে,"['যে', 'টা', 'কে']"
8920.png,রোদে,"['রো', 'দে']"
10004.png,রাখার,"['রা', 'খা', 'র']"
896.png,মার্চ,"['মা', 'র্চ']"
15885.png,চীনের,"['চী', 'নে', 'র']"
16487.png,বিরত,"['বি', 'র', 'ত']"
4971.png,নাসাঈ,"['না', 'সা', 'ঈ']"
17814.png,একান্নবর্তী,"['এ', 'কা', 'ন্ন', 'ব', 'র্তী']"
6922.png,অন্তরভুক্ত,"['অ', 'ন্ত', 'র', 'ভু', 'ক্ত']"
10027.png,প্রবীণ,"['প্র', 'বী', 'ণ']"
16479.png,উপস্থিত,"['উ', 'প', 'স্থি', 'ত']"
11271.png,বগুড়ার,"['ব', 'গু', 'ড়া', 'র']"
13621.png,গ্রীষ্মকাল,"['গ্রী', 'ষ্ম', 'কা', 'ল']"
4877.png,সময়মতো,"['স', 'ম', 'য়', 'ম', 'তো']"
7564.png,সাদেক,"['সা', 'দে', 'ক']"
13308.png,তাকা,"['তা', 'কা']"
13262.png,অসুবিধাগুলো,"['অ', 'সু', 'বি', 'ধা', 'গু', 'লো']"
17674.png,এম,"['এ', 'ম']"
6923.png,অর্থাৎ,"['অ', 'র্থা', 'ৎ']"
3521.png,রেডিও,"['রে', 'ডি', 'ও']"
2887.png,পা,['পা']
14727.png,পরিমানকে,"['প', 'রি', 'মা', 'ন', 'কে']"
2857.png,খুব,"['খু', 'ব']"
3117.png,সবাইকে,"['স', 'বা', 'ই', 'কে']"
872.png,বিদেশি,"['বি', 'দে', 'শি']"
2631.png,বনের,"['ব', 'নে', 'র']"
7413.png,সমতা,"['স', 'ম', 'তা']"
3753.png,কথিত,"['ক', 'থি', 'ত']"
11457.png,দ্বারা,"['দ্বা', 'রা']"
2648.png,জীববৈচিত্র্য,"['জী', 'ব', 'বৈ', 'চি', 'ত্র্য']"
10157.png,তাপমাত্রার,"['তা', 'প', 'মা', 'ত্রা', 'র']"
6591.png,তোমার,"['তো', 'মা', 'র']"
5130.png,দুই,"['দু', 'ই']"
15663.png,শিখতে,"['শি', 'খ', 'তে']"
17179.png,ব্যবসায়ীদের,"['ব্য', 'ব', 'সা', 'য়ী', 'দে', 'র']"
8697.png,আসার,"['আ', 'সা', 'র']"
3529.png,গেটের,"['গে', 'টে', 'র']"
10993.png,অথনৈতিক,"['অ', 'থ', 'নৈ', 'তি', 'ক']"
12034.png,খেতে,"['খে', 'তে']"
13548.png,শ্রমিক,"['শ্র', 'মি', 'ক']"
